Serial, mut_t1, mut_t2, mut_t4, mut_t8, rw_t1, rw_t2, rw_t4, rw_t8
26766, 27431, 42466, 41816, 44305, 28057, 22105, 23277, 28467
26544, 28129, 43131, 42106, 43391, 27520, 20928, 22799, 25921
27405, 26106, 41006, 41753, 42436, 26939, 21419, 22077, 27817
26819, 26128, 41526, 40329, 42222, 26735, 21822, 22158, 25192
27090, 26490, 44802, 40037, 41620, 26394, 21427, 23759, 24442
26833, 27307, 41000, 41643, 43058, 28145, 22260, 23282, 26783
26960, 27279, 42081, 43038, 42943, 27882, 21855, 23421, 26099
28838, 27680, 41306, 41736, 42408, 27727, 22190, 23112, 26224
26963, 27208, 41826, 43505, 43391, 28278, 22068, 22058, 26466
27498, 27732, 41604, 41356, 42106, 27927, 22146, 23287, 26060
27595, 27634, 42271, 41736, 43046, 28390, 22792, 21897, 25499
27502, 27549, 41674, 44691, 43211, 28035, 21974, 22339, 25576
27001, 27402, 41406, 40757, 42126, 27246, 21626, 22716, 26445
26476, 26942, 41155, 40188, 43009, 27584, 21985, 22510, 25708
26498, 26718, 40063, 41905, 42379, 27180, 21552, 23004, 25905
26797, 26818, 41618, 42567, 42994, 27601, 22360, 23350, 26370
26490, 27097, 42396, 41405, 43930, 27753, 21870, 23240, 24835
26433, 27307, 42309, 42816, 42932, 27579, 22140, 22455, 26848
27024, 27464, 41707, 41074, 42077, 27587, 22609, 23092, 25755
26447, 27063, 41487, 40750, 43203, 27772, 22491, 22774, 26265
26374, 27105, 42523, 42008, 43276, 27644, 21983, 22388, 28738
26661, 27401, 42011, 41602, 42288, 27539, 21987, 23828, 26041
26444, 26990, 40864, 41803, 43095, 27512, 21841, 21805, 26373
26435, 26915, 40725, 41493, 42487, 27385, 22049, 22851, 26485
26944, 27310, 43911, 40853, 42702, 27276, 21402, 23835, 26573
26593, 26905, 41255, 40737, 42564, 26360, 21193, 21528, 25529
27005, 25591, 40316, 40345, 41373, 26147, 21319, 22132, 26391
